,Precision,Recall,Accuracy,F1-score,AUC,Train Ratio,Number of true anomalies,Number of predicted anomalies,True Positives,False Positives,True Negatives,False Negatives
"AC_Power_B (KW) - LOF(algorithm='auto', contamination=0.005, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=30, novelty=True, p=2) - Threshold: std * 0.0 - Execution Time: 0.21747517585754395",0.14,0.57,1.00,0.23,0.79,0.07,7,28,4,24,26158,3
"AC_Power_B (KW) - LOF(algorithm='auto', contamination=0.01, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=30, novelty=True, p=2) - Threshold: std * 0.0 - Execution Time: 0.2276935577392578",0.07,0.57,1.00,0.12,0.78,0.07,7,60,4,56,26126,3
"AC_Power_B (KW) - LOF(algorithm='auto', contamination=0.05, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=30, novelty=True, p=2) - Threshold: std * 0.0 - Execution Time: 0.23296308517456055",0.00,0.57,0.97,0.01,0.77,0.07,7,836,4,832,25350,3
"AC_Power_B (KW) - LOF(algorithm='auto', contamination=0.1, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=30, novelty=True, p=2) - Threshold: std * 0.0 - Execution Time: 0.22989559173583984",0.00,0.57,0.93,0.00,0.75,0.07,7,1874,4,1870,24312,3
"AC_Power_B (KW) - LOF(algorithm='auto', contamination=0.15, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=30, novelty=True, p=2) - Threshold: std * 0.0 - Execution Time: 0.21539807319641113",0.00,0.57,0.88,0.00,0.73,0.07,7,3150,4,3146,23036,3
"AC_Power_B (KW) - LOF(algorithm='auto', contamination=0.091, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=50, novelty=True, p=2) - Threshold: std * 0.0 - Execution Time: 0.32933568954467773",0.00,0.57,0.94,0.00,0.75,0.07,7,1700,4,1696,24486,3
"AC_Power_B (KW) - LOF(algorithm='auto', contamination=0.005, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=50, novelty=True, p=2) - Threshold: std * 0.0 - Execution Time: 0.3444805145263672",0.01,0.29,0.99,0.02,0.64,0.07,7,172,2,170,26012,5
"AC_Power_B (KW) - LOF(algorithm='auto', contamination=0.01, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=50, novelty=True, p=2) - Threshold: std * 0.0 - Execution Time: 0.3297567367553711",0.01,0.29,0.99,0.02,0.64,0.07,7,204,2,202,25980,5
"AC_Power_B (KW) - LOF(algorithm='auto', contamination=0.05, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=50, novelty=True, p=2) - Threshold: std * 0.0 - Execution Time: 0.3334019184112549",0.00,0.57,0.97,0.01,0.77,0.07,7,912,4,908,25274,3
"AC_Power_B (KW) - LOF(algorithm='auto', contamination=0.1, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=50, novelty=True, p=2) - Threshold: std * 0.0 - Execution Time: 0.33239126205444336",0.00,0.57,0.93,0.00,0.75,0.07,7,1918,4,1914,24268,3
"AC_Power_B (KW) - LOF(algorithm='auto', contamination=0.15, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=50, novelty=True, p=2) - Threshold: std * 0.0 - Execution Time: 0.33055591583251953",0.00,0.57,0.88,0.00,0.73,0.07,7,3032,4,3028,23154,3
"AC_Power_B (KW) - IForest(behaviour='old', bootstrap=False, contamination=0.001,
    max_features=1.0, max_samples='auto', n_estimators=50, n_jobs=1,
    random_state=None, verbose=0) - Threshold: std * 4.51 - Execution Time: 0.18028616905212402",1.00,0.29,1.00,0.44,0.64,0.07,7,2,2,0,26182,5
"AC_Power_B (KW) - IForest(behaviour='old', bootstrap=False, contamination=0.005,
    max_features=1.0, max_samples='auto', n_estimators=50, n_jobs=1,
    random_state=None, verbose=0) - Threshold: std * 2.47 - Execution Time: 0.19131183624267578",1.00,0.29,1.00,0.44,0.64,0.07,7,2,2,0,26182,5
"AC_Power_B (KW) - IForest(behaviour='old', bootstrap=False, contamination=0.01,
    max_features=1.0, max_samples='auto', n_estimators=50, n_jobs=1,
    random_state=None, verbose=0) - Threshold: std * 3.4 - Execution Time: 0.17585206031799316",0.67,0.29,1.00,0.40,0.64,0.07,7,3,2,1,26181,5
"AC_Power_B (KW) - IForest(behaviour='old', bootstrap=False, contamination=0.05,
    max_features=1.0, max_samples='auto', n_estimators=50, n_jobs=1,
    random_state=None, verbose=0) - Threshold: std * 0.09 - Execution Time: 0.1799929141998291",0.00,0.29,0.98,0.01,0.63,0.07,7,649,2,647,25535,5
"AC_Power_B (KW) - IForest(behaviour='old', bootstrap=False, contamination=0.1, max_features=1.0,
    max_samples='auto', n_estimators=50, n_jobs=1, random_state=None,
    verbose=0) - Threshold: std * 0.27 - Execution Time: 0.17859625816345215",0.00,0.29,0.92,0.00,0.60,0.07,7,2151,2,2149,24033,5
"AC_Power_B (KW) - IForest(behaviour='old', bootstrap=False, contamination=0.15,
    max_features=1.0, max_samples='auto', n_estimators=50, n_jobs=1,
    random_state=None, verbose=0) - Threshold: std * 0.06 - Execution Time: 0.18075251579284668",0.00,0.29,0.87,0.00,0.58,0.07,7,3311,2,3309,22873,5
