,Precision,Recall,Accuracy,F1-score,AUC,Train Ratio,Number of true anomalies,Number of predicted anomalies,True Positives,False Positives,True Negatives,False Negatives
"DailyYield_B (KW) - KNN(algorithm='auto', contamination=0.1, leaf_size=30, method='largest',
  metric='minkowski', metric_params=None, n_jobs=1, n_neighbors=5, p=2,
  radius=1.0) - Threshold: std * 0.45 - Execution Time: 4.770409107208252",0.00,0.00,0.87,0.00,0.43,0.80,14,6968,0,6968,45396,14
"DailyYield_B (KW) - KNN(algorithm='auto', contamination=0.15, leaf_size=30, method='largest',
  metric='minkowski', metric_params=None, n_jobs=1, n_neighbors=5, p=2,
  radius=1.0) - Threshold: std * 0.45 - Execution Time: 4.8182196617126465",0.00,0.00,0.87,0.00,0.43,0.80,14,6968,0,6968,45396,14
"DailyYield_B (KW) - ABOD(contamination=0.001, method='fast', n_neighbors=5) - Threshold: std * nan - Execution Time: 14.10623049736023",0.00,0.00,1.00,0.00,0.50,0.80,14,0,0,0,52364,14
"DailyYield_B (KW) - ABOD(contamination=0.005, method='fast', n_neighbors=5) - Threshold: std * nan - Execution Time: 14.200927734375",0.00,0.00,1.00,0.00,0.50,0.80,14,0,0,0,52364,14
"DailyYield_B (KW) - ABOD(contamination=0.01, method='fast', n_neighbors=5) - Threshold: std * nan - Execution Time: 14.205689668655396",0.00,0.00,1.00,0.00,0.50,0.80,14,0,0,0,52364,14
"DailyYield_B (KW) - ABOD(contamination=0.05, method='fast', n_neighbors=5) - Threshold: std * nan - Execution Time: 14.179258823394775",0.00,0.00,1.00,0.00,0.50,0.80,14,0,0,0,52364,14
"DailyYield_B (KW) - ABOD(contamination=0.1, method='fast', n_neighbors=5) - Threshold: std * nan - Execution Time: 14.23652696609497",0.00,0.00,1.00,0.00,0.50,0.80,14,0,0,0,52364,14
"DailyYield_B (KW) - ABOD(contamination=0.15, method='fast', n_neighbors=5) - Threshold: std * nan - Execution Time: 14.104037284851074",0.00,0.00,1.00,0.00,0.50,0.80,14,0,0,0,52364,14
"DailyYield_B (KW) - HBOS(alpha=0.1, contamination=0.001, n_bins=10, tol=0.5) - Threshold: std * 2449.69 - Execution Time: 0.0028798580169677734",0.00,0.00,1.00,0.00,0.50,0.80,14,0,0,0,52364,14
"DailyYield_B (KW) - HBOS(alpha=0.1, contamination=0.005, n_bins=10, tol=0.5) - Threshold: std * 2449.69 - Execution Time: 0.011059761047363281",0.00,0.00,1.00,0.00,0.50,0.80,14,0,0,0,52364,14
"DailyYield_B (KW) - HBOS(alpha=0.1, contamination=0.01, n_bins=10, tol=0.5) - Threshold: std * 2449.69 - Execution Time: 0.00211334228515625",0.00,0.00,1.00,0.00,0.50,0.80,14,0,0,0,52364,14
"DailyYield_B (KW) - HBOS(alpha=0.1, contamination=0.05, n_bins=10, tol=0.5) - Threshold: std * 2449.69 - Execution Time: 0.007506608963012695",0.00,0.00,0.94,0.00,0.47,0.80,14,3095,0,3095,49269,14
"DailyYield_B (KW) - HBOS(alpha=0.1, contamination=0.1, n_bins=10, tol=0.5) - Threshold: std * 2449.06 - Execution Time: 0.00757598876953125",0.00,0.00,0.88,0.00,0.44,0.80,14,6393,0,6393,45971,14
"DailyYield_B (KW) - HBOS(alpha=0.1, contamination=0.15, n_bins=10, tol=0.5) - Threshold: std * 2448.94 - Execution Time: 0.00556635856628418",0.00,0.00,0.88,0.00,0.44,0.80,14,6393,0,6393,45971,14
"DailyYield_B (KW) - ECOD(contamination=0.001, n_jobs=1) - Threshold: std * 6.18 - Execution Time: 0.1044926643371582",0.00,0.00,1.00,0.00,0.50,0.80,14,0,0,0,52364,14
"DailyYield_B (KW) - ECOD(contamination=0.005, n_jobs=1) - Threshold: std * 5.69 - Execution Time: 0.09407329559326172",0.00,0.00,0.99,0.00,0.49,0.80,14,548,0,548,51816,14
"DailyYield_B (KW) - ECOD(contamination=0.01, n_jobs=1) - Threshold: std * 5.03 - Execution Time: 0.09805870056152344",0.00,0.00,0.97,0.00,0.49,0.80,14,1446,0,1446,50918,14
"DailyYield_B (KW) - ECOD(contamination=0.05, n_jobs=1) - Threshold: std * 3.67 - Execution Time: 0.0970456600189209",0.00,0.00,0.93,0.00,0.46,0.80,14,3699,0,3699,48665,14
"DailyYield_B (KW) - ECOD(contamination=0.1, n_jobs=1) - Threshold: std * 2.96 - Execution Time: 0.1026618480682373",0.00,0.14,0.83,0.00,0.49,0.80,14,8698,2,8696,43668,12
"DailyYield_B (KW) - ECOD(contamination=0.15, n_jobs=1) - Threshold: std * 2.96 - Execution Time: 0.09718656539916992",0.00,0.14,0.78,0.00,0.46,0.80,14,11376,2,11374,40990,12
"AC_Power_B (KW) - LOF(algorithm='auto', contamination=0.001, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=10, novelty=True, p=2) - Threshold: std * 0.0 - Execution Time: 6.957930088043213",0.64,0.41,1.00,0.50,0.70,0.80,22,14,9,5,52351,13
"AC_Power_B (KW) - LOF(algorithm='auto', contamination=0.005, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=10, novelty=True, p=2) - Threshold: std * 0.0 - Execution Time: 6.941628932952881",0.02,0.55,0.99,0.03,0.77,0.80,22,671,12,659,51697,10
"AC_Power_B (KW) - LOF(algorithm='auto', contamination=0.01, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=10, novelty=True, p=2) - Threshold: std * 0.0 - Execution Time: 6.98486590385437",0.01,0.59,0.98,0.02,0.79,0.80,22,1101,13,1088,51268,9
"AC_Power_B (KW) - LOF(algorithm='auto', contamination=0.05, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=10, novelty=True, p=2) - Threshold: std * 0.0 - Execution Time: 6.998534679412842",0.01,0.64,0.97,0.02,0.80,0.80,22,1511,14,1497,50859,8
"AC_Power_B (KW) - LOF(algorithm='auto', contamination=0.1, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=10, novelty=True, p=2) - Threshold: std * 0.0 - Execution Time: 7.001871824264526",0.01,0.64,0.97,0.02,0.80,0.80,22,1511,14,1497,50859,8
"AC_Power_B (KW) - LOF(algorithm='auto', contamination=0.15, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=10, novelty=True, p=2) - Threshold: std * 0.0 - Execution Time: 7.017544507980347",0.01,0.64,0.97,0.02,0.80,0.80,22,1511,14,1497,50859,8
"AC_Power_B (KW) - LOF(algorithm='auto', contamination=0.001, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=30, novelty=True, p=2) - Threshold: std * 0.0 - Execution Time: 7.420694828033447",0.11,0.18,1.00,0.14,0.59,0.80,22,35,4,31,52325,18
"AC_Power_B (KW) - LOF(algorithm='auto', contamination=0.005, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=30, novelty=True, p=2) - Threshold: std * 0.0 - Execution Time: 7.451313257217407",0.03,0.68,0.99,0.06,0.84,0.80,22,516,15,501,51855,7
"AC_Power_B (KW) - LOF(algorithm='auto', contamination=0.01, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=30, novelty=True, p=2) - Threshold: std * 0.0 - Execution Time: 7.454054594039917",0.01,0.68,0.98,0.03,0.83,0.80,22,1132,15,1117,51239,7
"AC_Power_B (KW) - LOF(algorithm='auto', contamination=0.05, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=30, novelty=True, p=2) - Threshold: std * 0.0 - Execution Time: 7.426931858062744",0.01,0.68,0.95,0.01,0.81,0.80,22,2790,15,2775,49581,7
"AC_Power_B (KW) - LOF(algorithm='auto', contamination=0.1, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=30, novelty=True, p=2) - Threshold: std * 0.0 - Execution Time: 7.424815893173218",0.01,0.68,0.95,0.01,0.81,0.80,22,2790,15,2775,49581,7
"AC_Power_B (KW) - LOF(algorithm='auto', contamination=0.15, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=30, novelty=True, p=2) - Threshold: std * 0.0 - Execution Time: 7.422069311141968",0.01,0.68,0.95,0.01,0.81,0.80,22,2790,15,2775,49581,7
"AC_Power_B (KW) - LOF(algorithm='auto', contamination=0.091, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=50, novelty=True, p=2) - Threshold: std * 0.0 - Execution Time: 7.825855493545532",0.00,0.68,0.92,0.01,0.80,0.80,22,4171,15,4156,48200,7
"AC_Power_B (KW) - LOF(algorithm='auto', contamination=0.005, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=50, novelty=True, p=2) - Threshold: std * 0.0 - Execution Time: 7.880610704421997",0.03,0.68,0.99,0.05,0.84,0.80,22,573,15,558,51798,7
"AC_Power_B (KW) - LOF(algorithm='auto', contamination=0.01, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=50, novelty=True, p=2) - Threshold: std * 0.0 - Execution Time: 7.9168267250061035",0.01,0.68,0.98,0.03,0.83,0.80,22,1140,15,1125,51231,7
"AC_Power_B (KW) - LOF(algorithm='auto', contamination=0.05, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=50, novelty=True, p=2) - Threshold: std * 0.0 - Execution Time: 7.780486345291138",0.00,0.68,0.94,0.01,0.81,0.80,22,3189,15,3174,49182,7
"AC_Power_B (KW) - LOF(algorithm='auto', contamination=0.1, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=50, novelty=True, p=2) - Threshold: std * 0.0 - Execution Time: 7.786670923233032",0.00,0.68,0.92,0.01,0.80,0.80,22,4171,15,4156,48200,7
"AC_Power_B (KW) - LOF(algorithm='auto', contamination=0.15, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=50, novelty=True, p=2) - Threshold: std * 0.0 - Execution Time: 7.811915874481201",0.00,0.68,0.92,0.01,0.80,0.80,22,4171,15,4156,48200,7
"AC_Power_B (KW) - IForest(behaviour='old', bootstrap=False, contamination=0.001,
    max_features=1.0, max_samples='auto', n_estimators=50, n_jobs=1,
    random_state=None, verbose=0) - Threshold: std * 0.39 - Execution Time: 0.8358993530273438",0.78,0.32,1.00,0.45,0.66,0.80,22,9,7,2,52354,15
"AC_Power_B (KW) - IForest(behaviour='old', bootstrap=False, contamination=0.005,
    max_features=1.0, max_samples='auto', n_estimators=50, n_jobs=1,
    random_state=None, verbose=0) - Threshold: std * 0.28 - Execution Time: 0.8451492786407471",0.03,0.32,1.00,0.06,0.66,0.80,22,220,7,213,52143,15
"AC_Power_B (KW) - IForest(behaviour='old', bootstrap=False, contamination=0.01,
    max_features=1.0, max_samples='auto', n_estimators=50, n_jobs=1,
    random_state=None, verbose=0) - Threshold: std * 0.21 - Execution Time: 0.8259100914001465",0.01,0.32,0.99,0.02,0.65,0.80,22,563,7,556,51800,15
"AC_Power_B (KW) - IForest(behaviour='old', bootstrap=False, contamination=0.05,
    max_features=1.0, max_samples='auto', n_estimators=50, n_jobs=1,
    random_state=None, verbose=0) - Threshold: std * 0.2 - Execution Time: 0.8405303955078125",0.00,0.32,0.94,0.00,0.63,0.80,22,3021,7,3014,49342,15
"AC_Power_B (KW) - IForest(behaviour='old', bootstrap=False, contamination=0.1, max_features=1.0,
    max_samples='auto', n_estimators=50, n_jobs=1, random_state=None,
    verbose=0) - Threshold: std * 0.18 - Execution Time: 0.8525674343109131",0.00,0.32,0.88,0.00,0.60,0.80,22,6024,7,6017,46339,15
"AC_Power_B (KW) - IForest(behaviour='old', bootstrap=False, contamination=0.15,
    max_features=1.0, max_samples='auto', n_estimators=50, n_jobs=1,
    random_state=None, verbose=0) - Threshold: std * 0.09 - Execution Time: 0.8610212802886963",0.00,0.32,0.83,0.00,0.57,0.80,22,9035,7,9028,43328,15
"AC_Power_B (KW) - IForest(behaviour='old', bootstrap=False, contamination=0.001,
    max_features=1.0, max_samples='auto', n_estimators=100, n_jobs=1,
    random_state=None, verbose=0) - Threshold: std * 0.84 - Execution Time: 1.7018702030181885",0.70,0.32,1.00,0.44,0.66,0.80,22,10,7,3,52353,15
"AC_Power_B (KW) - IForest(behaviour='old', bootstrap=False, contamination=0.005,
    max_features=1.0, max_samples='auto', n_estimators=100, n_jobs=1,
    random_state=None, verbose=0) - Threshold: std * 0.24 - Execution Time: 1.6814911365509033",0.03,0.32,1.00,0.06,0.66,0.80,22,220,7,213,52143,15
"AC_Power_B (KW) - IForest(behaviour='old', bootstrap=False, contamination=0.01,
    max_features=1.0, max_samples='auto', n_estimators=100, n_jobs=1,
    random_state=None, verbose=0) - Threshold: std * 0.06 - Execution Time: 1.704279899597168",0.01,0.32,0.99,0.02,0.65,0.80,22,563,7,556,51800,15
"AC_Power_B (KW) - IForest(behaviour='old', bootstrap=False, contamination=0.05,
    max_features=1.0, max_samples='auto', n_estimators=100, n_jobs=1,
    random_state=None, verbose=0) - Threshold: std * 0.07 - Execution Time: 1.7215869426727295",0.00,0.32,0.94,0.00,0.63,0.80,22,2990,7,2983,49373,15
"AC_Power_B (KW) - IForest(behaviour='old', bootstrap=False, contamination=0.1, max_features=1.0,
    max_samples='auto', n_estimators=100, n_jobs=1, random_state=None,
    verbose=0) - Threshold: std * 0.05 - Execution Time: 1.6947948932647705",0.00,0.32,0.89,0.00,0.60,0.80,22,6014,7,6007,46349,15
"AC_Power_B (KW) - IForest(behaviour='old', bootstrap=False, contamination=0.15,
    max_features=1.0, max_samples='auto', n_estimators=100, n_jobs=1,
    random_state=None, verbose=0) - Threshold: std * 0.0 - Execution Time: 1.7164583206176758",0.00,0.32,0.84,0.00,0.58,0.80,22,8369,7,8362,43994,15
"AC_Power_B (KW) - IForest(behaviour='old', bootstrap=False, contamination=0.001,
    max_features=1.0, max_samples='auto', n_estimators=150, n_jobs=1,
    random_state=None, verbose=0) - Threshold: std * 0.8 - Execution Time: 2.522087574005127",0.70,0.32,1.00,0.44,0.66,0.80,22,10,7,3,52353,15
"AC_Power_B (KW) - IForest(behaviour='old', bootstrap=False, contamination=0.005,
    max_features=1.0, max_samples='auto', n_estimators=150, n_jobs=1,
    random_state=None, verbose=0) - Threshold: std * 0.33 - Execution Time: 2.5404300689697266",0.03,0.32,1.00,0.06,0.66,0.80,22,220,7,213,52143,15
"AC_Power_B (KW) - IForest(behaviour='old', bootstrap=False, contamination=0.01,
    max_features=1.0, max_samples='auto', n_estimators=150, n_jobs=1,
    random_state=None, verbose=0) - Threshold: std * 0.12 - Execution Time: 2.506615400314331",0.01,0.32,0.99,0.02,0.65,0.80,22,563,7,556,51800,15
"AC_Power_B (KW) - IForest(behaviour='old', bootstrap=False, contamination=0.05,
    max_features=1.0, max_samples='auto', n_estimators=150, n_jobs=1,
    random_state=None, verbose=0) - Threshold: std * 0.05 - Execution Time: 2.4972004890441895",0.00,0.32,0.94,0.00,0.63,0.80,22,2995,7,2988,49368,15
